newsgroup,message_id_hash,replacement_char_count,nb_body_length,matched_similarity,shuffled_similarity
no.ai,0debfbac2b14b784,12,705,0.9933443399730181,0.7978096801309937
no.ai,117de86fa437fa76,2,140,0.9918579688247824,0.8229146452386551
no.ai,1298caf112c8cbae,28,880,0.9881184545439451,0.8726906914841651
no.ai,13d5ac298d332c56,29,1635,0.989644973001727,0.8392193850360823
no.ai,14fef30edb07a1b8,6,433,0.9824406561925093,0.7937916467159105
no.ai,164942b114eb23ee,2,828,0.9983590969774551,0.8507964601973689
no.ai,1d2e410b5013cfbc,28,1334,0.9898804016295539,0.8389072950371489
no.ai,202914214bebf6cb,9,485,0.9859443641896879,0.8583564910377841
no.ai,21a6abb620695cec,15,915,0.9907264370076257,0.8198476388370929
no.ai,2fab2999bd24043d,7,610,0.9906806723369146,0.8040143947589667
no.ai,334f912bbff9a48e,8,337,0.9866023652059511,0.8691715960160653
no.ai,4604a3336a182c37,14,494,0.9876085524362519,0.8624457007211709
no.ai,4655906211d6c9ca,1,1096,0.9985923478765657,0.8029091040571676
no.ai,50c2be546f276985,36,2155,0.9891363558561633,0.8259751908543785
no.ai,574ab9edee545191,27,1493,0.9944012646320934,0.8508669384239624
no.ai,5901e639db7df1a3,1,413,0.9989037801616268,0.8932363195642261
no.ai,666dcfa1c13e8594,6,489,0.9902819217460865,0.8338535787871459
no.ai,6a1187d925d2b0da,2,617,0.9981381496136496,0.801759763169852
no.ai,71e203a201c80565,18,1443,0.9900520671668254,0.853589324807776
no.ai,73b3d8ec260a728a,3,291,0.9991715977416998,0.8641119037907572
no.ai,748bf51203f66663,2,88,0.9815107898147858,0.8226734650763665
no.ai,78f5d2eb31267b38,24,1356,0.9895290585678725,0.8377461235189548
no.ai,7b83514e47c1f900,2,255,0.993026114764188,0.8692699857788122
no.ai,85ba6d8ef5e085f7,18,622,0.9909084289484621,0.811539803033374
no.ai,8b436cf2b88567d2,10,284,0.9840413420489833,0.827179036283001
no.ai,8ff5d07dbfa58218,20,1329,0.9906086923724794,0.8403385085549279
no.ai,913127183a7d56cc,13,802,0.9939523701286689,0.8205946150548031
no.ai,920f8faa53024945,42,2048,0.9900534634807878,0.8434765257345426
no.ai,92dd5c903177901d,5,128,0.9745892271311571,0.8421329472557587
no.ai,92f175275985f922,9,672,0.9922482188206353,0.8566890120293026
no.ai,a470beb381e91201,11,272,0.9682065728049752,0.821930357204991
no.ai,a9f8fa3e4d6a5411,1,166,0.9901950564741784,0.8641649850926897
no.ai,cd9eddd89dc0fd85,8,288,0.9881933176167572,0.8082519534077204
no.ai,d299c66cbe959d82,4,513,0.9933815435044918,0.8087967488818724
no.ai,d8e15c059d8b981c,1,1298,1.0,0.8654003098609121
no.ai,db004c412e4e161a,8,237,0.984037883970313,0.8470488446623812
no.ai,e37bc92d63b3d6a0,5,525,0.9973294370375612,0.8720177401949386
no.ai,e3d038e5c245fdec,31,1264,0.991772430571012,0.8162845817822695
no.ai,eb7f9823513115d9,1,435,0.9987475134059434,0.8258244365513815
no.ai,ecbbdc05a35ef0d0,92,6436,0.9931911203215547,0.8356543039965983
no.ai,f37ec4133eca75f8,11,346,0.9867986154629034,0.8037352093429234
no.ai,fb778c454b37945e,10,642,0.9903377324826801,0.8591744443842476
no.alkohol,0640c50ff6cf0a8d,4,190,0.9841036698317943,0.8320846560966229
no.alkohol,071dbf71200a5dcd,2,21,0.8989397590518241,0.796109311949829
